position,logo,name,played,won,draw,lost,goals_for,goals_against,goal_difference,points,date_last_updated
1   ,https://www.psl.co.za/newpsl/images/clublogos/Mamelodi%20Sundowns.png,Mamelodi Sundowns,19,17,0,2,46,11,35,51,2025-02-28 11:57:29.436325
2   ,https://www.psl.co.za/newpsl/images/clublogos/Orlando%20Pirates.png,Orlando Pirates,15,12,0,3,28,11,17,36,2025-02-28 11:57:29.442839
3   ,https://www.psl.co.za/newpsl/images/clublogos/Sekhukhune%20United.png,Sekhukhune United,19,9,4,6,25,21,4,31,2025-02-28 11:57:29.442839
4   ,https://www.psl.co.za/newpsl/images/clublogos/Polokwane%20City.png,Polokwane City,19,8,6,5,14,13,1,30,2025-02-28 11:57:29.450870
5   ,https://www.psl.co.za/newpsl/images/clublogos/Stellenbosch%20FC.png,Stellenbosch FC,17,7,6,4,23,14,9,27,2025-02-28 11:57:29.458835
6   ,https://www.psl.co.za/newpsl/images/clublogos/AmaZulu%20FC.png,AmaZulu FC,19,8,2,9,23,26,-3,26,2025-02-28 11:57:29.458835
7   ,https://www.psl.co.za/newpsl/images/clublogos/TS%20Galaxy.png,TS Galaxy,19,6,7,6,20,20,0,25,2025-02-28 11:57:29.466950
8   ,https://www.psl.co.za/newpsl/images/clublogos/Kaizer%20Chiefs.png,Kaizer Chiefs,18,7,4,7,21,23,-2,25,2025-02-28 11:57:29.474828
9   ,https://www.psl.co.za/newpsl/images/clublogos/Chippa%20United.png,Chippa United,17,6,3,8,17,16,1,21,2025-02-28 11:57:29.477647
10   ,https://www.psl.co.za/newpsl/images/clublogos/Cape%20Town%20City%20FC.png,Cape Town City FC,19,6,3,10,12,23,-11,21,2025-02-28 11:57:29.485517
11   ,https://www.psl.co.za/newpsl/images/clublogos/Golden%20Arrows.png,Golden Arrows,15,5,5,5,13,16,-3,20,2025-02-28 11:57:29.485517
12   ,https://www.psl.co.za/newpsl/images/clublogos/SuperSport%20United.png,SuperSport United,18,5,5,8,11,18,-7,20,2025-02-28 11:57:29.496058
13   ,https://www.psl.co.za/newpsl/images/clublogos/Richards%20Bay.png,Richards Bay,18,4,5,9,10,17,-7,17,2025-02-28 11:57:29.498661
14   ,https://www.psl.co.za/newpsl/images/clublogos/Marumo%20Gallants%20FC.png,Marumo Gallants FC,18,4,4,10,14,30,-16,16,2025-02-28 11:57:29.506238
15   ,https://www.psl.co.za/newpsl/images/clublogos/Magesi%20FC.png,Magesi FC,19,3,5,11,10,24,-14,14,2025-02-28 11:57:29.506449
16   ,https://www.psl.co.za/newpsl/images/clublogos/Royal%20AM.png,Royal AM,11,1,5,5,10,14,-4,8,2025-02-28 11:57:29.514293
